,Original,Reduced
bangladesh,222917843,112494734
ethiopia,242935501,144910444
ghana,238402693,151130944
india,254758371,132972981
kenya,141727858,97928855
nigeria,160558690,108891528
pakistan,193122024,115484163
uganda,98231495,50474936
yemen,102471417,64670680
