,country,avg_height,std_height,avg_width,std_width,count
0,pakistan,422.9555095706156,414.991889158284,640.7315054319711,604.5945406110089,1933
1,india,377.8726960994428,400.5193195442909,583.2760394342049,595.5877250282181,400
2,bangladesh,384.3740936058009,446.7458470025511,574.8556361239288,650.7177095314818,701
3,yemen,382.32617825478303,479.07626205333503,584.5412972468503,725.5200686999759,1252
4,ghana,392.41069902580756,483.5167683080327,607.4245428131943,737.1244006681932,1565
5,uganda,381.23534688995215,492.55768120373307,592.4083433014354,753.940717123283,837
6,kenya,375.74702528507686,475.3785453333357,588.431085770947,738.3643227862318,1380
7,nigeria,377.1888277795751,471.32235950098203,592.8777094791329,735.0731418120894,1205
