,Original,Reduced
bangladesh,81759200,18476214
ethiopia,101860040,14302834
ghana,257496030,44999246
india,286614943,50246798
kenya,171359643,27845966
nigeria,177407255,27468822
pakistan,209173713,44293062
uganda,136809082,20903176
yemen,128014043,25350244
