,Original,Reduced
bangladesh,222917843,87480663
ethiopia,242935501,119390512
ghana,238402693,123145829
india,254758371,106426192
kenya,141727858,86003576
nigeria,160558690,95980895
pakistan,193122024,88601140
uganda,98231495,38343292
yemen,102471417,52818962
