,Original,Reduced
bangladesh,223272958,38764988
ethiopia,244747955,51818082
ghana,238460936,45528932
india,255757934,50257246
kenya,141899307,23297256
nigeria,161328802,25600490
pakistan,194267268,43469854
uganda,98257808,17590808
yemen,109106020,23565106
